subid,slide,cond,leftPic,rightPic,trialNum,key,correct,rt
1,test,ap,ap32b,ap32a,1,a,1,8974
1,test,ss,ss20b,ss20a,2,h,1,3286
1,test,ds,ds20b,ds20a,3,h,1,3512
1,test,ds,ds19b,ds19a,4,h,1,3812
1,test,ss,ss19b,ss19a,5,h,1,3181
1,test,ap,ap31b,ap31a,6,a,1,4442
1,test,ap,ap30b,ap30a,7,a,1,3542
1,test,dd,dd20b,dd20a,8,h,1,2884
1,test,ss,ss18b,ss18a,9,h,1,2546
1,test,dd,dd19b,dd19a,10,h,1,1967
1,test,ss,ss17b,ss17a,11,h,1,1694
1,test,ap,ap29b,ap29a,12,a,1,1597
1,test,ap,ap28b,ap28a,13,a,1,4048
1,test,ss,ss16b,ss16a,14,h,1,2429
1,test,ap,ap27b,ap27a,15,a,1,3737
1,test,ap,ap26b,ap26a,16,a,1,4775
1,test,ds,ds18b,ds18a,17,h,1,770
1,test,ds,ds17b,ds17a,18,h,1,633
1,test,ss,ss15b,ss15a,19,h,1,3068
1,test,ss,ss14b,ss14a,20,h,1,2091
1,test,dd,dd18b,dd18a,21,h,1,660
1,test,ap,ap25b,ap25a,22,a,1,695
1,test,dd,dd17b,dd17a,23,h,1,576
1,test,ss,ss13b,ss13a,24,h,1,1067
1,test,ap,ap24b,ap24a,25,a,1,650
1,test,dd,dd16b,dd16a,26,h,1,534
1,test,ap,ap23b,ap23a,27,a,1,752
1,test,ss,ss12b,ss12a,28,h,1,621
1,test,ap,ap22b,ap22a,29,a,1,633
1,test,ss,ss11b,ss11a,30,h,1,531
1,test,ap,ap21b,ap21a,31,a,1,668
1,test,ds,ds16b,ds16a,32,h,1,500
1,test,ds,ds15b,ds15a,33,h,1,589
1,test,ap,ap20b,ap20a,34,a,1,897
1,test,ap,ap19b,ap19a,35,a,1,696
1,test,dd,dd15b,dd15a,36,h,1,673
1,test,ss,ss10b,ss10a,37,h,1,463
1,test,ds,ds14b,ds14a,38,h,1,435
1,test,ap,ap18b,ap18a,39,a,1,733
1,test,dd,dd14b,dd14a,40,h,1,577
1,test,ds,ds13b,ds13a,41,h,1,408
1,test,dd,dd13b,dd13a,42,h,1,467
1,test,ds,ds12b,ds12a,43,h,1,533
1,test,dd,dd12b,dd12a,44,h,1,485
1,test,dd,dd11b,dd11a,45,h,1,497
1,test,dd,dd10b,dd10a,46,h,1,483
1,test,ap,ap17b,ap17a,47,a,1,608
1,test,ds,ds11b,ds11a,48,h,1,452
1,test,ss,ss9b,ss9a,49,h,1,504
1,test,ss,ss8b,ss8a,50,h,1,458
1,test,ss,ss7b,ss7a,51,h,1,489
1,test,ss,ss6b,ss6a,52,h,1,490
1,test,ap,ap16b,ap16a,53,a,1,650
1,test,ap,ap15b,ap15a,54,a,1,580
1,test,ap,ap14b,ap14a,55,a,1,578
1,test,ds,ds10b,ds10a,56,h,1,517
1,test,ap,ap13b,ap13a,57,a,1,688
1,test,ap,ap12b,ap12a,58,a,1,634
1,test,ds,ds9b,ds9a,59,h,1,595
1,test,dd,dd9b,dd9a,60,h,1,430
1,test,ap,ap11b,ap11a,61,a,1,609
1,test,ap,ap10b,ap10a,62,a,1,561
1,test,ss,ss5b,ss5a,63,h,1,518
1,test,dd,dd8b,dd8a,64,h,1,444
1,test,ap,ap9b,ap9a,65,a,1,554
1,test,ss,ss4b,ss4a,66,h,1,514
1,test,ss,ss3b,ss3a,67,h,1,562
1,test,ap,ap8b,ap8a,68,a,1,539
1,test,dd,dd7b,dd7a,69,h,1,489
1,test,dd,dd6b,dd6a,70,h,1,436
1,test,ss,ss2b,ss2a,71,h,1,484
1,test,ds,ds8b,ds8a,72,h,1,611
1,test,dd,dd5b,dd5a,73,h,1,498
1,test,ds,ds7b,ds7a,74,h,1,467
1,test,ap,ap7b,ap7a,75,a,1,554
1,test,ap,ap6b,ap6a,76,a,1,600
1,test,ds,ds6b,ds6a,77,h,1,500
1,test,dd,dd4b,dd4a,78,h,1,484
1,test,ds,ds5b,ds5a,79,h,1,520
1,test,dd,dd3b,dd3a,80,h,1,534
1,test,ap,ap5b,ap5a,81,a,1,571
1,test,ap,ap4b,ap4a,82,a,1,486
1,test,dd,dd2b,dd2a,83,h,1,499
1,test,ss,ss1b,ss1a,84,h,1,470
1,test,dd,dd1b,dd1a,85,h,1,503
1,test,ap,ap3b,ap3a,86,a,1,552
1,test,ds,ds4b,ds4a,87,h,1,514
1,test,ds,ds3b,ds3a,88,h,1,524
1,test,ds,ds2b,ds2a,89,h,1,465
1,test,ap,ap2b,ap2a,90,a,1,553
1,test,ap,ap1b,ap1a,91,a,1,520
2,test,ds,ds1b,ds1a,92,h,1,529
2,test,ap,ap1a,ap1b,1,a,1,561
2,test,ss,ss1a,ss1b,2,h,1,450
2,test,ap,ap2a,ap2b,3,a,1,451
2,test,ap,ap3a,ap3b,4,a,1,420
2,test,dd,dd1a,dd1b,5,h,1,418
2,test,dd,dd2a,dd2b,6,h,1,388
2,test,ds,ds1a,ds1b,7,h,1,369
2,test,ss,ss2a,ss2b,8,h,1,343
2,test,ap,ap4a,ap4b,9,h,0,323
2,test,ap,ap5a,ap5b,10,a,1,443
2,test,ds,ds2a,ds2b,11,h,1,416
2,test,ss,ss3a,ss3b,12,h,1,351
2,test,ds,ds3a,ds3b,13,h,1,326
2,test,ap,ap6a,ap6b,14,a,1,447
2,test,ds,ds4a,ds4b,15,h,1,387
2,test,ds,ds5a,ds5b,16,h,1,374
2,test,ss,ss4a,ss4b,17,h,1,354
2,test,ds,ds6a,ds6b,18,h,1,347
2,test,ap,ap7a,ap7b,19,a,1,455
2,test,ap,ap8a,ap8b,20,a,1,509
2,test,ds,ds7a,ds7b,21,h,1,402
2,test,ds,ds8a,ds8b,22,h,1,405
2,test,ap,ap9a,ap9b,23,h,0,381
2,test,ap,ap10a,ap10b,24,a,1,686
2,test,dd,dd3a,dd3b,25,h,1,427
2,test,dd,dd4a,dd4b,26,h,1,379
2,test,ss,ss5a,ss5b,27,h,1,386
2,test,ap,ap11a,ap11b,28,a,1,525
2,test,ap,ap12a,ap12b,29,a,1,442
2,test,ap,ap13a,ap13b,30,h,0,389
2,test,ap,ap14a,ap14b,31,a,1,457
2,test,ds,ds9a,ds9b,32,h,1,424
2,test,ap,ap15a,ap15b,33,a,1,485
2,test,ap,ap16a,ap16b,34,a,1,419
2,test,ds,ds10a,ds10b,35,h,1,440
2,test,ds,ds11a,ds11b,36,h,1,378
2,test,ss,ss6a,ss6b,37,h,1,340
2,test,ds,ds12a,ds12b,38,h,1,365
2,test,dd,dd5a,dd5b,39,h,1,388
2,test,ds,ds13a,ds13b,40,h,1,335
2,test,ap,ap17a,ap17b,41,h,0,412
2,test,ss,ss7a,ss7b,42,h,1,461
2,test,ds,ds14a,ds14b,43,h,1,376
2,test,ds,ds15a,ds15b,44,h,1,400
2,test,ss,ss8a,ss8b,45,h,1,380
2,test,ss,ss9a,ss9b,46,h,1,390
2,test,ap,ap18a,ap18b,47,a,1,526
2,test,dd,dd6a,dd6b,48,h,1,422
2,test,ap,ap19a,ap19b,49,a,1,453
2,test,ap,ap20a,ap20b,50,a,1,380
2,test,ss,ss10a,ss10b,51,h,1,448
2,test,dd,dd7a,dd7b,52,h,1,361
2,test,ss,ss11a,ss11b,53,h,1,378
2,test,dd,dd8a,dd8b,54,h,1,334
2,test,ss,ss12a,ss12b,55,h,1,330
2,test,dd,dd9a,dd9b,56,h,1,352
2,test,ds,ds16a,ds16b,57,h,1,335
2,test,dd,dd10a,dd10b,58,h,1,331
2,test,ap,ap21a,ap21b,59,a,1,460
2,test,ap,ap22a,ap22b,60,a,1,447
2,test,ap,ap23a,ap23b,61,a,1,459
2,test,dd,dd11a,dd11b,62,h,1,489
2,test,ss,ss13a,ss13b,63,h,1,364
2,test,dd,dd12a,dd12b,64,h,1,360
2,test,ap,ap24a,ap24b,65,a,1,407
2,test,ss,ss14a,ss14b,66,h,1,411
2,test,ap,ap25a,ap25b,67,a,1,641
2,test,dd,dd13a,dd13b,68,h,1,515
2,test,ds,ds17a,ds17b,69,h,1,402
2,test,ss,ss15a,ss15b,70,h,1,330
2,test,ds,ds18a,ds18b,71,h,1,322
2,test,dd,dd14a,dd14b,72,h,1,284
2,test,ss,ss16a,ss16b,73,h,1,329
2,test,ap,ap26a,ap26b,74,a,1,473
2,test,ap,ap27a,ap27b,75,a,1,369
2,test,ss,ss17a,ss17b,76,a,0,343
2,test,dd,dd15a,dd15b,77,h,1,482
2,test,ds,ds19a,ds19b,78,h,1,342
2,test,ds,ds20a,ds20b,79,a,0,401
2,test,dd,dd16a,dd16b,80,h,1,341
2,test,ap,ap28a,ap28b,81,a,1,539
2,test,dd,dd17a,dd17b,82,h,1,480
2,test,ss,ss18a,ss18b,83,h,1,457
2,test,ap,ap29a,ap29b,84,a,1,530
2,test,ss,ss19a,ss19b,85,h,1,433
2,test,ap,ap30a,ap30b,86,a,1,533
2,test,dd,dd18a,dd18b,87,h,1,387
2,test,ap,ap31a,ap31b,88,h,0,365
2,test,ss,ss20a,ss20b,89,h,1,490
2,test,ap,ap32a,ap32b,90,a,1,446
2,test,dd,dd19a,dd19b,91,h,1,464
2,test,dd,dd20a,dd20b,92,h,1,428
3,test,dd,dd20b,dd20a,1,h,1,863
3,test,ss,ss20b,ss20a,2,h,1,648
3,test,ds,ds20b,ds20a,3,h,1,508
3,test,ss,ss19b,ss19a,4,h,1,547
3,test,ds,ds19b,ds19a,5,h,1,585
3,test,ap,ap32b,ap32a,6,a,1,590
3,test,ds,ds18b,ds18a,7,h,1,535
3,test,ds,ds17b,ds17a,8,h,1,522
3,test,ap,ap31b,ap31a,9,a,1,854
3,test,ds,ds16b,ds16a,10,h,1,531
3,test,ap,ap30b,ap30a,11,a,1,591
3,test,ap,ap29b,ap29a,12,a,1,536
3,test,ap,ap28b,ap28a,13,a,1,673
3,test,dd,dd19b,dd19a,14,h,1,575
3,test,ss,ss18b,ss18a,15,h,1,491
3,test,ds,ds15b,ds15a,16,h,1,493
3,test,ds,ds14b,ds14a,17,h,1,594
3,test,ap,ap27b,ap27a,18,a,1,503
3,test,dd,dd18b,dd18a,19,h,1,501
3,test,dd,dd17b,dd17a,20,a,0,651
3,test,ss,ss17b,ss17a,21,h,1,609
3,test,ap,ap26b,ap26a,22,a,1,553
3,test,ap,ap25b,ap25a,23,a,1,817
3,test,ss,ss16b,ss16a,24,h,1,595
3,test,ss,ss15b,ss15a,25,h,1,754
3,test,ds,ds13b,ds13a,26,h,1,493
3,test,dd,dd16b,dd16a,27,h,1,573
3,test,ap,ap24b,ap24a,28,a,1,553
3,test,dd,dd15b,dd15a,29,a,0,949
3,test,ss,ss14b,ss14a,30,h,1,1387
3,test,ss,ss13b,ss13a,31,h,1,524
3,test,ap,ap23b,ap23a,32,a,1,766
3,test,ds,ds12b,ds12a,33,h,1,568
3,test,ap,ap22b,ap22a,34,a,1,574
3,test,dd,dd14b,dd14a,35,h,1,678
3,test,ss,ss12b,ss12a,36,h,1,511
3,test,ds,ds11b,ds11a,37,h,1,465
